feature,suggested_side,family,source_family,lane,in_box15_control,new_mechanism_feature,rows,coverage,minimum,p01,median,p99,maximum,standard_deviation,adjacent_season_median_correlation,adjacent_transitions,adjacent_player_pairs,early_late_smd,early_late_univariate_auc,source_shift_flag,stable_redundancy_member,screen_status
corner3_frequency_eb,offense,three_spacing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.006742080353873958,0.013375158869821664,0.08966334661646495,0.2435696312992108,0.43188343826519454,0.0492334222852307,0.9512912565846061,8,6912,0.4378915872090071,0.6364349014909773,False,False,eligible_for_fold_internal_screen
spacing_creation_interaction,offense,creation_passing,same_season_mechanism,retrospective_candidate,False,True,8620,1.0,-1.024467570947985,-0.10461355801004943,8.388648577257703,45.51409230891814,106.90844839943223,9.16952594337325,0.9737244057539332,8,6912,0.3283812088722336,0.6300156568553786,False,False,eligible_for_fold_internal_screen
post_points_per_touch,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.512816127324167,1.5808560390139172,3.0,0.2823054199485659,0.7849697850026878,8,6912,0.2710633511560822,0.6284441626940913,False,False,eligible_for_fold_internal_screen
charges_drawn_p100,defense,disruption,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.027745890578232936,0.7751889610156444,2.2489539748953975,0.16404936804898576,0.9120955529471402,8,6912,0.24324771051166247,0.6275727590647422,False,False,eligible_for_fold_internal_screen
post_touches_p100,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.18196167371885785,12.830419331941698,83.33333333333334,2.837950791171224,0.9638926935385352,8,6912,-0.33540464295651423,0.6260980569411371,False,False,eligible_for_fold_internal_screen
very_tight_accuracy,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.4689009836093073,1.0,1.0,0.17796592736897096,0.8244483248896013,8,6912,-0.3051954725415818,0.6253234728784911,False,False,eligible_for_fold_internal_screen
arc3_frequency_eb,offense,three_spacing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.021452877995702405,0.045955276945110604,0.27869214956907196,0.5115223273276642,0.6199130388998446,0.10012906726235517,0.9641450588556044,8,6912,0.43058360980133237,0.6252497501603703,False,False,eligible_for_fold_internal_screen
at_rim_accuracy,offense,rim_interior,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.08333333333333333,0.3333333333333333,0.6289494520328254,0.908268398268396,1.0,0.09688343383935576,0.8464354100673949,8,6912,0.31851475282627345,0.6216588646668374,False,False,eligible_for_fold_internal_screen
front_court_touches_p100,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,18.927772600186394,41.44824467935956,70.20417892979737,200.0,9.976104492406305,0.9022311143884494,8,6912,-0.380607089540078,0.6208509704888345,False,False,eligible_for_fold_internal_screen
def_loose_balls_recovered_p100,defense,disruption,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.5364805262764447,1.6129032258064515,5.343511450381679,0.38107119917029186,0.8303117638055273,8,6912,0.34855230656137587,0.617896583488831,False,False,eligible_for_fold_internal_screen
FG2A_p100,both,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,True,False,8620,1.0,0.0,0.0,9.08652665569008,21.369056188686976,33.33333333333333,5.007304854995797,0.9407132817852977,8,6912,-0.4057627292574376,0.6086335634594311,False,False,eligible_for_fold_internal_screen
elbow_points_per_touch,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.523563461233558,1.7921547220438283,3.0,0.30310513746850537,0.8279100524665121,8,6912,0.2822072840869758,0.6083459127194593,False,False,eligible_for_fold_internal_screen
short_mid_frequency_eb,offense,general_box_or_rate,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.049308346331293065,0.08200404644880735,0.1902098029272671,0.35765428231647756,0.5483046340234831,0.05622715768967581,0.9531447095912796,8,6912,0.3012272930817975,0.6023430445258239,False,False,eligible_for_fold_internal_screen
assist_to_load_2017_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.06878320615397907,0.09936453258833929,0.1664006191053157,0.2870223202473112,0.35674757224674586,0.03518184242033246,0.9671621209772918,8,6912,0.2268796498438099,0.6021009543155347,False,False,eligible_for_fold_internal_screen
rim_dfga_p100,defense,rim_interior,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,6.862745098039215,13.734497201527109,25.49019607843137,2.687660038829553,0.9329980934716247,8,6912,0.25451231311155875,0.6019254292779177,False,False,eligible_for_fold_internal_screen
corner3_frequency,offense,three_spacing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0011494252873563218,0.0073034786388665954,0.09176696281386465,0.3450842257314298,0.6666666666666666,0.07507867572161875,0.943536360089372,8,6912,0.2531567534444031,0.5960411561065617,False,False,eligible_for_fold_internal_screen
short_mid_accuracy,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.08333333333333331,0.15957523226079656,0.3987375508486464,0.8,1.0,0.09927106748182532,0.8114993394849785,8,6912,0.19320428282512184,0.5949804629291175,False,False,eligible_for_fold_internal_screen
tight_3_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.247574082052755,0.2728480877276962,0.2951628310264504,0.3253004653659953,0.3734380107723702,0.010157357193925343,0.7818594583907889,8,6912,-0.28124565171948845,0.5904792477706036,False,False,eligible_for_fold_internal_screen
catch_shoot_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.28829525306322423,0.32668839767252067,0.37356591556094565,0.4311132418857366,0.46730538167955754,0.020215626588530725,0.8551755892887849,8,6912,-0.28404701079640343,0.5870954355727035,False,False,eligible_for_fold_internal_screen
lost_ball_turnover_share_eb,offense,turnovers,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.12498514014250506,0.1637704807252568,0.19964049976426215,0.24995588424249837,0.32957460307353653,0.016889694147139468,0.8995783878098298,8,6912,0.3318773242647806,0.5867174896439953,False,False,eligible_for_fold_internal_screen
shooting_proficiency_2017_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.08180011451805276,0.13921084035482936,0.34758962227857776,0.40182959963975695,0.4337928055074789,0.048696324052404184,0.9377050726896189,8,6912,0.32674302621533835,0.5855179400848478,False,False,eligible_for_fold_internal_screen
elbow_touches_p100,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,1.157227545210172,10.56966692256569,25.0,2.5815416252483927,0.962666589816491,8,6912,-0.2931194886397657,0.5845475145671191,False,False,eligible_for_fold_internal_screen
workload_adjusted_shot_suppression_residual,defense,shooting,same_season_mechanism,retrospective_candidate,False,True,8620,1.0,-5.718301463392837,-2.7165369430153654,-0.10450976522550628,2.3660048426442315,3.9539665828861974,0.9536513042622798,0.895570392979544,8,6912,-0.17887401098146957,0.5830838791099383,False,False,eligible_for_fold_internal_screen
dfg_attempts_p100,defense,matchup_shot_defense,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,18.5121107266436,30.760728992856574,37.84860557768924,4.499925031003169,0.9338030168870113,8,6912,0.21033700729107255,0.581946517609131,False,False,eligible_for_fold_internal_screen
FG3A_p100,both,three_spacing,gabriel_player_sheet_or_derived,retrospective_candidate,True,False,8620,1.0,0.0,0.0,6.1527778426375725,16.165115907951012,100.0,4.096526927806397,0.9500405546549127,8,6912,0.25773973828952085,0.5813120287341313,False,True,prune_within_fold
long_mid_accuracy,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.041666666666666664,0.16666666666666666,0.4020048899755502,0.8522091431749337,1.0,0.10475566767500091,0.7665446261933311,8,6912,0.17975409941969797,0.5780346437312482,False,False,eligible_for_fold_internal_screen
arc3_frequency,offense,three_spacing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.002036659877800407,0.010706112356966247,0.2798137951354098,0.6314966496924114,1.0,0.14180129319968993,0.9584550682532915,8,6912,0.24707705287910497,0.5766944208750143,False,True,prune_within_fold
box_creation_2017_eb_p100,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,-0.08264948471130174,0.8846784784569073,3.03235927783818,10.417965155818907,15.621694859937383,1.7917716167049385,0.9724247685699436,8,6912,0.1985742763261695,0.576315181082321,False,False,eligible_for_fold_internal_screen
live_ball_turnover_share_eb,offense,turnovers,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.4420056602633086,0.5012930365645746,0.5660621883049436,0.6341352795706989,0.682924855303199,0.026665148817809646,0.9200028394663352,8,6912,0.25500604454043946,0.5760385419507317,False,False,eligible_for_fold_internal_screen
ft_pct_eb,offense,general_box_or_rate,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.4982152343728214,0.6432186598020413,0.7665822784810126,0.8514378060201289,0.8908473295666702,0.03677404733550831,0.9431142663820049,8,6912,0.25303084121719777,0.5753573638561904,False,False,eligible_for_fold_internal_screen
