Season,Age,PLAYER_ID,Name,MPG,Tier,Off,Def,RAPM,VORP_Off,VORP_Def,VORP,Poss_Off,Poss_Def,Poss,Ref_Age,cumOff_at_age,cumDef_at_age,cumRAPM_at_age,Off_at_ref,Def_at_ref,RAPM_at_ref
2021,31,202710,Jimmy Butler,33.55,30-35,2.286,-3.056,5.342,3.833,-1.303,5.136,3795,3781,7576,27,2.319333625278637,-0.8975037073754619,3.216788317802911,2.9822934012417504,-3.154186729431501,6.136459908629378
2022,32,202710,Jimmy Butler,33.87,30-35,2.946,-2.152,5.098,4.272,-0.045,4.318,5042,4992,10034,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,4.017983395445492,-2.3285544824420694,6.3465063933446055
2023,33,202710,Jimmy Butler,33.41,30-35,2.604,-1.121,3.725,3.975,0.566,3.409,6103,6107,12210,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,4.127613986562016,-1.3965737521062962,5.524142556634528
2024,34,202710,Jimmy Butler,34.03,30-35,3.258,-1.769,5.027,4.695,0.366,4.329,4139,4144,8283,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,5.306923456496466,-2.1639770129664457,7.470839211524923
2015,26,202711,Bojan Bogdanovic,23.77,20-25,1.812,1.159,0.653,3.901,2.725,1.176,3884,3903,7787,27,2.975801441755025,-0.9633858521012563,3.9391191540042314,1.8518255847653622,1.126695415294293,0.725129072428059
2016,27,202711,Bojan Bogdanovic,26.77,25-30,0.607,1.995,-1.388,2.068,3.658,-1.589,4173,4188,8361,27,3.0156270265203875,-0.9956904368069632,4.01124822643229,0.6069999999999998,1.995,-1.388
2017,28,202711,Bojan Bogdanovic,25.71,25-30,0.387,1.306,-0.919,1.892,2.484,-0.591,4886,4876,9762,27,2.9673728960967534,-1.0045542949518251,3.9718592869303655,0.43525413042363414,1.314863858144862,-0.8796110604980756
2018,29,202711,Bojan Bogdanovic,30.81,30-35,0.081,-1.24,1.321,0.802,0.953,-0.152,5396,5407,10803,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,0.2630345822826179,-1.2449662532682078,1.5079956987503387
2019,30,202711,Bojan Bogdanovic,31.77,30-35,1.914,-1.905,3.82,2.798,-0.078,2.876,5540,5505,11045,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,2.312855417116143,-1.945836256760454,4.259680240853532
2020,31,202711,Bojan Bogdanovic,33.06,30-35,1.522,-1.53,3.053,2.601,0.444,2.156,4260,4244,8504,27,2.319333625278637,-0.8975037073754619,3.216788317802911,2.21829340124175,-1.6281867294315011,3.847459908629379
2021,32,202711,Bojan Bogdanovic,30.77,30-35,2.93,-1.667,4.596,4.476,0.086,4.391,5315,5300,10615,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,4.001983395445492,-1.8435544824420695,5.844506393344607
2022,33,202711,Bojan Bogdanovic,30.89,30-35,1.063,-0.104,1.167,2.39,2.003,0.387,4691,4699,9390,27,1.4920130399583709,-0.720116684700667,2.2121056697977615,2.586613986562017,-0.3795737521062963,2.9661425566345283
2023,34,202711,Bojan Bogdanovic,32.08,30-35,1.824,-0.016,1.84,3.195,1.671,1.524,3841,3833,7674,27,0.9667035700239216,-0.600713423840517,1.5674090149073683,3.872923456496466,-0.4109770129664463,4.2838392115249215
2024,35,202711,Bojan Bogdanovic,25.93,25-30,-0.556,1.994,-2.55,1.087,3.606,-2.518,3050,3046,6096,27,0.36993084968639556,-0.4610950112680541,0.8310362630403395,2.089696176833992,1.4594045744610908,0.6302119633919506
2012,22,202712,Justin Harper,5.97,5-10,-4.805,-0.69,-4.115,-2.315,-0.009,-2.306,164,167,331,27,1.8820081989734287,-0.5817253137197314,2.4636925317597482,-3.671381172453041,-1.1039651230872318,-2.5674443053274585
2016,26,202712,Justin Harper,7.02,5-10,-3.037,-0.653,-2.384,-1.634,0.087,-1.722,66,63,129,27,2.975801441755025,-0.9633858521012563,3.9391191540042314,-2.9971744152346376,-0.685304584705707,-2.3118709275719413
