alpha,pid,beta_off
1469.7344922755992,1630200,0.007948149290481592
1469.7344922755992,1630541,0.00636121283372145
1469.7344922755992,1641717,0.009150227153096891
1469.7344922755992,1641715,0.008520697256154315
1469.7344922755992,1627750,0.01762861258449335
1469.7344922755992,1641708,0.01366100603856274
2000.0,1631170,0.01750318547579624
2000.0,1629216,0.012161709313249542
2000.0,1626156,0.015674719181113354
2000.0,203932,0.013415340042417371
2000.0,1630573,0.017169838081972887
2000.0,1630631,0.007340487416425542
2000.0,2544,0.013362228921177484
2000.0,1627752,0.007310138438155592
2000.0,203994,0.011914445203392514
2000.0,1629639,0.001217984910641737
2000.0,1630540,0.005226819279129995
2000.0,1630558,0.002702231118403494
2000.0,203078,0.008768866942313318
2000.0,1628401,0.0036256954831628448
2000.0,1630200,0.005914778958046155
2000.0,1630541,0.004695384554333864
2000.0,1641717,0.0069929058738372
2000.0,1641715,0.0063920895188089724
2000.0,1627750,0.013815248356315727
2000.0,1641708,0.010159678451688026
