lam_off,lam_def,lam_home,lam_rb,lam_playoff,mean_rmse,std_rmse
3000.0,1500.0,500.0,250.0,2500.0,1.1881263930654111,0.0010118006447742628
3000.0,1500.0,50.0,250.0,2500.0,1.188126393435104,0.0010117741819395869
3000.0,1500.0,500.0,2500.0,2500.0,1.188126395636537,0.0010118007094067113
3000.0,1500.0,50.0,2500.0,2500.0,1.1881263960125041,0.0010117743254836767
3000.0,1500.0,5000.0,250.0,2500.0,1.1881263961724005,0.0010120614055492048
3000.0,1500.0,5000.0,2500.0,2500.0,1.1881263984526782,0.0010120614102946289
6000.0,3000.0,500.0,250.0,250.0,1.1881556528825221,0.0009957490346700233
6000.0,3000.0,50.0,250.0,250.0,1.1881556529188926,0.0009957225142732539
6000.0,3000.0,500.0,2500.0,250.0,1.1881556555025414,0.0009957490804259036
6000.0,3000.0,50.0,2500.0,250.0,1.1881556555373374,0.0009957225588503173
6000.0,3000.0,5000.0,250.0,250.0,1.1881556589648676,0.0009960107422905381
6000.0,3000.0,5000.0,2500.0,250.0,1.18815566159816,0.000996010787196006
6000.0,3000.0,500.0,250.0,2500.0,1.188155880128973,0.000995582233953642
6000.0,3000.0,50.0,250.0,2500.0,1.1881558801827212,0.0009955557060036676
6000.0,3000.0,500.0,2500.0,2500.0,1.1881558827545742,0.0009955822818874386
6000.0,3000.0,50.0,2500.0,2500.0,1.1881558827963623,0.0009955557711813063
6000.0,3000.0,5000.0,250.0,2500.0,1.18815588621606,0.0009958438952915021
6000.0,3000.0,5000.0,2500.0,2500.0,1.188155888856384,0.0009958439474830928
6000.0,6000.0,50.0,250.0,250.0,1.1881629631131474,0.0009879987130206411
6000.0,6000.0,500.0,250.0,250.0,1.1881629634256488,0.0009880252897656967
6000.0,6000.0,50.0,2500.0,250.0,1.1881629656762878,0.000987998732015013
6000.0,6000.0,500.0,2500.0,250.0,1.1881629659898687,0.0009880253086815124
6000.0,6000.0,5000.0,250.0,250.0,1.1881629729791996,0.0009882875977105443
6000.0,6000.0,5000.0,2500.0,250.0,1.1881629755514602,0.0009882876140478222
6000.0,6000.0,50.0,250.0,2500.0,1.188163137345182,0.000987804744542621
6000.0,6000.0,500.0,250.0,2500.0,1.188163137657349,0.0009878313150924352
6000.0,6000.0,50.0,2500.0,2500.0,1.188163139908598,0.0009878047631188727
6000.0,6000.0,500.0,2500.0,2500.0,1.18816314052435,0.0009878315919024077
6000.0,6000.0,5000.0,250.0,2500.0,1.1881631472141854,0.0009880935671254978
6000.0,6000.0,5000.0,2500.0,2500.0,1.1881631497866432,0.0009880935837400329
500.0,3000.0,5000.0,250.0,2500.0,1.1881633167223062,0.0010166971966822451
500.0,3000.0,500.0,250.0,2500.0,1.1881633167447214,0.0010164293408020312
500.0,3000.0,50.0,250.0,2500.0,1.1881633169955925,0.001016402291982471
500.0,3000.0,500.0,2500.0,2500.0,1.1881633187130047,0.0010164290151531686
500.0,3000.0,50.0,2500.0,2500.0,1.1881633188295515,0.0010164021310276178
500.0,3000.0,5000.0,2500.0,2500.0,1.1881633189930232,0.0010166974267714715
500.0,3000.0,50.0,250.0,250.0,1.1881633582001092,0.001016718481542666
500.0,3000.0,5000.0,250.0,250.0,1.1881633586224323,0.0010170141637586036
500.0,3000.0,500.0,250.0,250.0,1.1881633596575183,0.0010167472705565645
500.0,3000.0,500.0,2500.0,250.0,1.1881633604169564,0.0010167461907515227
500.0,3000.0,50.0,2500.0,250.0,1.1881633620542658,0.0010167203671051644
500.0,3000.0,5000.0,2500.0,250.0,1.1881633621527623,0.0010170154438253211
500.0,6000.0,50.0,250.0,2500.0,1.188169162129384,0.0010107848964748826
500.0,6000.0,500.0,250.0,2500.0,1.1881691626024666,0.0010108113108039407
500.0,6000.0,500.0,2500.0,2500.0,1.188169163287636,0.0010108134359525399
500.0,6000.0,5000.0,250.0,2500.0,1.18816916339109,0.001011081046523998
500.0,6000.0,50.0,2500.0,2500.0,1.188169163541818,0.0010107862039860109
