Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Marcus Sasser,1631204,94,93,-0.013,-0.116,0.103,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.003,-0.778,0.752,-1.926,1.695,-1.862,2.068
Obi Toppin,1630167,347,349,-0.012,-0.114,0.102,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.917,0.996,-0.776,0.752,-1.911,1.683,-1.851,2.055
Alex Len,203458,155,156,0.008,-0.094,0.102,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.757,0.773,-1.901,1.712,-1.86,2.064
Tyrese Maxey,1630178,1867,1863,0.018,-0.082,0.1,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.887,0.968,-0.741,0.776,-1.821,1.656,-1.796,1.996
Kelly Oubre Jr.,1626162,263,266,0.016,-0.084,0.1,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.919,0.998,-0.748,0.78,-1.885,1.718,-1.857,2.057
Victor Oladipo,203506,635,626,-0.029,-0.128,0.099,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.91,0.99,-0.792,0.734,-1.912,1.656,-1.841,2.039
Malik Monk,1628370,419,410,0.013,-0.085,0.098,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.916,0.995,-0.751,0.777,-1.88,1.71,-1.852,2.049
Joel Embiid,203954,1454,1460,0.026,-0.068,0.094,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.894,0.975,-0.734,0.786,-1.82,1.685,-1.817,2.004
Jaren Jackson Jr.,1628991,1022,1023,-0.083,-0.174,0.091,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.902,0.982,-0.844,0.679,-1.942,1.594,-1.834,2.016
Naz Reid,1629675,267,264,-0.023,-0.111,0.089,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.919,0.998,-0.787,0.742,-1.913,1.69,-1.868,2.045
