Name,Off,Def,Rapm
Dwight Howard,1.0246163202263399,-2.2212614668642603,3.2458777870906
Boban Marjanovic,2.47623848568503,-0.7511071111205401,3.22734559680557
Scot Pollard,-0.7016809103142799,-3.92797441530936,3.22629350499508
De'Anthony Melton,2.86822955184937,-0.3387742636742,3.2070038155235703
Cory Jefferson,0.31274144998291,-2.8856170008451603,3.19835845082807
Luc Mbah a Moute,-0.62986311422841,-3.82443819235737,3.1945750781289597
JJ Redick,2.8172937319528897,-0.37459465991044,3.19188839186333
Shawn Marion,1.0814762501594801,-2.11030008752794,3.19177633768742
Josh Hart,3.0310949172012402,-0.15492053779387,3.18601545499511
Robert Williams III,1.96298506080696,-1.22243702667195,3.18542208747891
Obi Toppin,4.10043413410303,0.9232522467100099,3.17718188739302
Kevin Huerter,3.4551052155621598,0.29047570524659,3.16462951031557
Serge Ibaka,1.30517250505293,-1.8434124197976898,3.1485849248506197
Scottie Pippen,2.2833664475485502,-0.83643280687883,3.11979925442738
Walker Kessler,2.5737689976788403,-0.53704655999351,3.11081555767235
Gigi Datome,0.7907612149378801,-2.3105211941126798,3.10128240905056
Delon Wright,1.6313511127990201,-1.46956325819725,3.10091437099627
Kelly Olynyk,3.2174377806680603,0.11766912945506,3.099768651213
Terry Mills,3.21462311529416,0.15629381275119,3.0583293025429703
Lauri Markkanen,3.39248954593446,0.33512932002964,3.0573602259048203
Mike Dunleavy,1.29355669325586,-1.75507685536132,3.04863354861718
Jamario Moon,2.3188541442754,-0.72349223473546,3.0423463790108602
Dāvis Bertāns,3.10343747406215,0.06276699056247,3.04067048349968
Ersan Ilyasova,1.94154973646023,-1.0767769964738299,3.01832673293406
Jerome Williams,1.04298641988426,-1.9729456804937402,3.015932100378
Luguentz Dort,2.35477149833258,-0.65952793189904,3.01429943023162
DeMarcus Cousins,1.62929236479222,-1.36349446356073,2.9927868283529504
Lucas Nogueira,1.27768351272373,-1.70878945067658,2.9864729634003098
Iman Shumpert,0.41297744858594,-2.5666726730697498,2.97965012165569
Tyrone Corbin,1.6980274550859,-1.27474030078951,2.97276775587541
Zion Williamson,4.131916961329081,1.1602706464304,2.9716463148986803
Tyson Chandler,-0.07576933911177999,-3.04426549922729,2.9684961601155098
Nick Collison,0.18875838222284,-2.76073354643738,2.9494919286602204
Kyrylo Fesenko,0.66466422447966,-2.28393103407614,2.9485952585558
Mookie Blaylock,0.9690977565857101,-1.9701206390372699,2.93921839562298
Aaron McKie,-0.86956849717355,-3.80278161955363,2.93321312238008
Bobby Phills,1.8744973959725,-1.0552813900737499,2.92977878604625
Dereck Lively II,3.45180833690486,0.52351804375954,2.92829029314532
Ante Zizic,1.9612852021684402,-0.96086017790177,2.9221453800702104
Hamed Haddadi,0.001964240247891414,-2.9066001416883602,2.9085643819362517
Kevon Looney,2.3338321259627497,-0.56293095463946,2.8967630806022098
Thabo Sefolosha,-0.90581713737555,-3.77483136932488,2.8690142319493295
Isaiah Joe,2.85445685191343,-0.00834532651225593,2.862802178425686
Evan Mobley,0.1293183505705,-2.73263976492325,2.8619581154937497
Chauncey Billups,4.24212653458036,1.39191109749949,2.85021543708087
Sam Hauser,2.56344641046883,-0.28481114250966,2.84825755297849
Deron Williams,3.85896842760916,1.02708334714635,2.83188508046281
Keon Ellis,1.17496216015146,-1.65365008162827,2.82861224177973
Russell Westbrook,3.00769195097034,0.20691399765166,2.80077795331868
Taj Gibson,0.09074072719235,-2.70225543772784,2.79299616492019
Trajan Langdon,0.15249024134935,-2.63357916634209,2.78606940769144
Michael Porter Jr.,4.55154043997483,1.7717024780128199,2.77983796196201
Goran Dragic,3.22724877968933,0.45103243062263,2.7762163490667
Tomas Satoransky,1.39009159098981,-1.37785037849565,2.7679419694854603
Monte Morris,3.00241988223684,0.2359247013209,2.76649518091594
Brandin Podziemski,2.91931602934201,0.16584591447775,2.75347011486426
Jalen Williams,2.46416929378094,-0.2835358724464,2.7477051662273397
Darius Songaila,1.34202293654683,-1.40268348264227,2.7447064191891
Tony Bradley,2.53460814006709,-0.20364727547193,2.7382554155390197
Dorian Finney-Smith,2.10693858368651,-0.62141538445371,2.7283539681402202
Raul Neto,1.23147725297667,-1.48978866224605,2.7212659152227205
Hassan Whiteside,0.96233467275163,-1.73818603539794,2.70052070814957
Victor Oladipo,0.20122319313945,-2.4747068694788,2.67593006261825
Anthony Edwards,3.11791549513006,0.45051563108334003,2.66739986404672
Dan Majerle,1.03939701230266,-1.62710216322895,2.66649917553161
Tre Jones,3.32607308853854,0.66348015059037,2.66259293794817
Gary Payton,1.7393250308933,-0.9155113445432199,2.65483637543652
Toumani Camara,0.24860267141531,-2.40282167711615,2.65142434853146
Quentin Richardson,2.0204066090674,-0.62748933871709,2.64789594778449
Ronnie Brewer,1.04017127386067,-1.6073082752406698,2.64747954910134
Greg Oden,2.8840327103920202,0.24636838112806,2.63766432926396
Danny Granger,2.61323983071328,-0.006646398035869347,2.619886228749149
Keegan Murray,4.25944522140073,1.6512306580200702,2.60821456338066
Anthony Tolliver,1.14514315143203,-1.45285924963987,2.5980024010719
Kyle Korver,1.6163177023011601,-0.9759260171016501,2.59224371940281
Matthew Dellavedova,0.57154980763309,-2.00877439238165,2.58032420001474
Isaac Bonga,-1.2581675508991201,-3.83109348187006,2.5729259309709396
Jordan Williams,1.96614111619667,-0.59538362506869,2.56152474126536
Ish Wainright,0.32809679743155,-2.22723253487244,2.5553293323039896
Lavoy Allen,-0.65474864689648,-3.20927784420476,2.5545291973082804
Karl Malone,2.55783078896053,0.005906889627010914,2.551923899333519
Greg Ostertag,-1.2836238034404,-3.81116082567234,2.5275370222319395
Kentavious Caldwell-Pope,1.8170957868551398,-0.70822142532031,2.52531721217545
