Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season
Day'Ron Sharpe,1630549,26,23,0.299,0.159,0.14,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jalen Wilson,1630592,98,104,0.07,-0.068,0.138,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nikola Jovic,1631107,201,199,-0.272,-0.407,0.135,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Davion Mitchell,1630558,411,413,-0.791,-0.926,0.135,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Andrew Nembhard,1629614,116,116,0.374,0.246,0.128,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
LaMelo Ball,1630163,54,53,0.491,0.365,0.126,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jordan Poole,1629673,1642,1622,-0.284,-0.409,0.125,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Cole Anthony,1630175,68,67,0.051,-0.074,0.125,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jared Rhoden,1631197,73,72,-0.194,-0.318,0.124,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Deni Avdija,1630166,139,139,0.026,-0.09,0.116,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kevin Huerter,1628989,746,752,-0.231,-0.347,0.116,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jason Preston,1630554,38,37,0.19,0.084,0.106,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bones Hyland,1630538,365,368,0.405,0.3,0.105,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Chimezie Metu,1629002,102,102,-0.489,-0.591,0.102,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dāvis Bertāns,202722,325,324,-0.11,-0.206,0.096,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Lindy Waters III,1630322,31,30,-0.006,-0.097,0.091,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
JT Thor,1630550,102,104,-0.116,-0.206,0.089,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Aaron Nesmith,1630174,128,125,0.308,0.222,0.086,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Evan Mobley,1630596,647,644,-1.444,-1.522,0.078,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Monte Morris,1628420,319,315,0.657,0.586,0.071,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Andrew Funk,1641847,15,15,0.09,0.022,0.068,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nemanja Bjelica,202357,174,177,-0.178,-0.238,0.06,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jerome Robinson,1629010,12,11,-0.096,-0.153,0.057,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Wenyen Gabriel,1629117,40,39,-0.215,-0.272,0.056,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Johnny Juzang,1630548,84,84,0.145,0.093,0.053,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jermaine Samuels Jr.,1631257,10,11,0.029,-0.02,0.049,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Anthony Lamb,1630237,11,9,-0.112,-0.154,0.042,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
1630492,1630492,1,2,0.03,-0.006,0.035,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Furkan Korkmaz,1627788,75,80,-0.337,-0.369,0.033,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
