Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Dorian Finney-Smith,1627827,1359,1374,0.6,-0.176,0.776,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.735,1.734,2.45,-2.8,4.0,-3.574,3.222,-4.026,5.578
Luke Kennard,1628379,199,197,0.543,-0.223,0.766,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.859,1.859,2.629,-3.101,4.187,-3.868,3.421,-4.387,5.92
Immanuel Quickley,1630193,349,351,-1.048,-1.804,0.757,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.832,1.831,2.59,-4.637,2.542,-5.393,1.785,-4.319,5.832
Khris Middleton,203114,573,574,0.674,-0.082,0.756,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.798,1.798,2.542,-2.85,4.198,-3.605,3.442,-4.226,5.737
Alex Len,203458,155,156,-0.012,-0.765,0.753,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.867,1.866,2.64,-3.67,3.647,-4.423,2.893,-4.42,5.927
Donovan Mitchell,1628378,935,928,0.238,-0.512,0.75,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.763,1.764,2.494,-3.218,3.694,-3.969,2.944,-4.138,5.639
Darius Garland,1629636,615,606,0.225,-0.514,0.739,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.802,1.802,2.549,-3.307,3.756,-4.047,3.019,-4.256,5.734
Onyeka Okongwu,1630168,515,529,0.608,-0.101,0.709,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.809,1.807,2.557,-2.938,4.153,-3.643,3.44,-4.303,5.722
Keon Ellis,1631165,210,208,-0.293,-0.989,0.696,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.857,1.857,2.626,-3.932,3.347,-4.629,2.652,-4.452,5.844
Amari Bailey,1641735,44,44,0.319,-0.35,0.669,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,2.178,2.178,3.08,-3.95,4.587,-4.619,3.918,-5.367,6.706
Marcus Smart,203935,2644,2645,0.11,-0.554,0.664,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.654,1.656,2.342,-3.133,3.353,-3.799,2.691,-3.926,5.254
Jordan McLaughlin,1629162,228,230,-0.272,-0.921,0.649,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.851,1.851,2.618,-3.901,3.357,-4.549,2.707,-4.482,5.78
Mike Muscala,203488,3,4,0.207,-0.438,0.645,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.898,1.898,2.685,-3.514,3.928,-4.158,3.282,-4.617,5.907
Terance Mann,1629611,461,471,0.449,-0.186,0.635,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.813,1.811,2.563,-3.104,4.001,-3.736,3.364,-4.388,5.657
Zion Williamson,1629627,198,199,0.155,-0.476,0.631,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.859,1.859,2.629,-3.488,3.799,-4.119,3.167,-4.521,5.783
Tobias Harris,202699,1732,1732,0.005,-0.608,0.613,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.707,1.707,2.413,-3.34,3.35,-3.953,2.737,-4.115,5.342
Cam Whitmore,1641715,133,131,-0.006,-0.616,0.61,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.871,1.872,2.647,-3.674,3.663,-4.285,3.053,-4.578,5.798
Jarrett Allen,1628386,595,598,-0.043,-0.643,0.6,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.804,1.804,2.552,-3.58,3.493,-4.179,2.893,-4.401,5.601
DeMarcus Cousins,202326,96,95,0.617,0.03,0.588,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.879,1.879,2.657,-3.065,4.3,-3.653,3.712,-4.62,5.795
Keegan Murray,1631099,636,632,0.506,-0.075,0.581,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.799,1.799,2.544,-3.02,4.032,-3.602,3.451,-4.404,5.567
Wesley Matthews,202083,722,747,-0.564,-1.144,0.58,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.785,1.783,2.523,-4.063,2.935,-4.639,2.351,-4.366,5.526
Joe Ingles,204060,204,207,0.658,0.077,0.58,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.855,1.855,2.623,-2.979,4.294,-3.558,3.712,-4.56,5.721
Julius Randle,203944,604,608,0.304,-0.269,0.573,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.805,1.805,2.552,-3.234,3.842,-3.807,3.268,-4.428,5.575
Aaron Holiday,1628988,109,109,0.049,-0.515,0.564,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.875,1.875,2.652,-3.626,3.725,-4.191,3.16,-4.634,5.762
Duncan Robinson,1629130,882,894,0.62,0.066,0.555,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.753,1.751,2.477,-2.815,4.056,-3.367,3.498,-4.301,5.41
Bradley Beal,203078,192,198,0.306,-0.241,0.547,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.861,1.86,2.631,-3.342,3.954,-3.887,3.405,-4.611,5.705
Mitchell Robinson,1629011,685,680,0.127,-0.415,0.542,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.792,1.793,2.535,-3.386,3.639,-3.929,3.099,-4.426,5.51
Sidy Cissoko,1631321,52,52,0.283,-0.254,0.537,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.887,1.887,2.669,-3.416,3.982,-3.953,3.446,-4.695,5.768
Reggie Bullock Jr.,203493,1249,1243,0.24,-0.285,0.526,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.753,1.753,2.48,-3.195,3.676,-3.722,3.151,-4.335,5.387
