team,pred_net_rating,pred_off,pred_def,total_minutes,matched_minutes,minute_coverage,run,source_file,actual_net_rating,actual_wins,team_ortg,team_drtg
PHI,0.8066625556782351,0.28982891756960116,-0.5168100181013988,19446.931666666667,14387.535,0.7398357358688719,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-6.299999999999997,24,111.9,118.2
PHO,1.6898638961507224,1.221926309328247,-0.468030566972285,21059.495,18573.16,0.8819375773255722,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-3.0999999999999943,36,116.2,119.3
POR,-0.8036404135804928,-0.7801195914545229,0.023743645603461573,19834.43,18510.786666666667,0.9332653707047123,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-3.0,36,111.7,114.7
SAC,1.2258702622862507,0.8820916923250591,-0.34388218421501504,20079.525,19322.091666666667,0.962278324146944,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,0.5,40,116.7,116.2
SAS,0.3131600645547128,0.022271687655125598,-0.2913635364969038,20653.281666666666,18449.76,0.8933088841652201,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-2.799999999999997,34,114.4,117.2
TOR,-0.21473557226319684,-0.2977131212360958,-0.0830582288460902,18809.978333333333,13880.41,0.7379280163976797,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-4.299999999999997,30,110.5,114.8
UTA,-0.48269970471129253,-0.05021709720000035,0.4324973027191037,19597.205,15038.946666666667,0.7674026304601429,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-9.200000000000003,17,111.2,120.4
WAS,-0.6710504314546998,-0.42512757317099154,0.24592975385394947,18386.441666666666,11435.226666666666,0.6219379950715496,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-12.299999999999997,18,106.8,119.1
ATL,0.28449436902731,0.26751150848733274,-0.017182487850454817,20510.37,18094.266666666663,0.8822008899238124,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,-1.1000000000000085,40,114.6,115.7
BKN,-1.0348087194374531,-0.650153385699567,0.38456946379086027,18025.39833333333,17140.816666666666,0.9509258186527363,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,-7.299999999999997,26,108.5,115.8
BOS,3.414128987234016,1.8581257573158592,-1.5561105658008605,19801.843333333334,19383.038333333334,0.9788502013196414,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,9.5,61,120.6,111.1
CHA,-0.06786809541743236,-0.10538144188352218,-0.03757501967002714,18609.108333333334,16040.375,0.8619636531035653,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,-9.299999999999997,19,107.3,116.6
CHI,0.06851053674483762,0.09308878540214162,0.02460538871468128,19984.666666666668,18418.971666666668,0.9216551856423258,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,-1.5,39,114.1,115.6
CLE,1.7294592399296764,0.48024972422009815,-1.2491475129516134,20082.44,19478.22,0.9699130185375882,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,9.5,64,121.7,112.2
DAL,0.958010372323921,0.3873180151614499,-0.5705338792948724,20921.701666666668,20865.085000000003,0.9972938785014381,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,-1.2000000000000028,39,114.8,116.0
DEN,1.7956753866364477,0.8921692453622092,-0.9034914967682365,19855.0,19546.97,0.9844860236716193,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,3.9000000000000057,50,119.9,116.0
DET,-0.10616090341844944,-0.44663751136111896,-0.3403443444456218,21628.95833333333,20275.156666666666,0.9374079118465793,simple_rapm_with_playoffs_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_rubber_band_season_effects_players_2022_2024.csv,1.9000000000000057,44,115.0,113.1
