Season,value,series,series_type,z_score
1998,-0.42331373937404915,RAPM VORP,impact,-1.041649218829198
1999,1.7095361579841588,RAPM VORP,impact,1.7449829825868646
2000,1.183242771118109,RAPM VORP,impact,1.0573649270219607
2001,-0.0421745744999166,RAPM VORP,impact,-0.5436794970149175
2002,1.3704173148980914,RAPM VORP,impact,1.3019140683509907
2003,-0.02280947514597475,RAPM VORP,impact,-0.5183784153447277
2004,0.7007701808178938,RAPM VORP,impact,0.4270000531991513
2005,2.223796832545225,RAPM VORP,impact,2.416879939531104
2006,1.1347648974266473,RAPM VORP,impact,0.9940271346849879
2007,1.9020932440154477,RAPM VORP,impact,1.9965645764019093
2008,0.12698074319054664,RAPM VORP,impact,-0.3226730136703266
2009,0.01056158321727678,RAPM VORP,impact,-0.4747781291991558
2010,0.40421956557611727,RAPM VORP,impact,0.03954780219637434
2011,-0.2513544657570906,RAPM VORP,impact,-0.8169792831780002
2012,0.6024493653372862,RAPM VORP,impact,0.298540966215529
2013,0.05346298061965629,RAPM VORP,impact,-0.4187261699706626
2014,0.0005025458794733484,RAPM VORP,impact,-0.48792056242687104
2015,0.17748182974687174,RAPM VORP,impact,-0.25669183319500866
2016,-0.013845141409349268,RAPM VORP,impact,-0.5066662451232499
2017,0.07758570446665716,RAPM VORP,impact,-0.38720910956187277
2018,0.6056361270899826,RAPM VORP,impact,0.3027045657868369
2019,0.37766098911098755,RAPM VORP,impact,0.004848227466258402
2020,-0.4691154597129215,RAPM VORP,impact,-1.1014905367459642
2021,0.6213828651783091,RAPM VORP,impact,0.32327815020951317
2022,-1.0286045572610394,RAPM VORP,impact,-1.832479781464929
2023,-0.23975472876857068,RAPM VORP,impact,-0.8018238797620336
2024,0.41626074636689675,RAPM VORP,impact,0.055279965147091
