Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2015,BRef DBPM,BRef_DBPM,BRef_MP,24,-0.20833333333333334,-0.15000000000000002,-0.9,0.3,-0.14941843013657513,-0.2859168206400779,26652.0
2016,BRef DBPM,BRef_DBPM,BRef_MP,27,-0.24444444444444446,-0.2,-1.35,0.6,-0.36633627131050045,-0.19280515197900486,32789.0
2017,BRef DBPM,BRef_DBPM,BRef_MP,24,-0.4583333333333333,-0.6,-0.8250000000000001,-0.05,-0.5255227951682037,-0.5288426355974257,23097.0
2018,BRef DBPM,BRef_DBPM,BRef_MP,30,-0.26,0.0,-1.2,0.375,-0.13284811864872284,-0.24029509408339533,40051.0
2019,BRef DBPM,BRef_DBPM,BRef_MP,30,-0.28333333333333327,-0.15000000000000002,-1.0750000000000002,0.4,-0.4409804807065081,-0.28441754449669987,39858.0
2020,BRef DBPM,BRef_DBPM,BRef_MP,31,-0.6032258064516127,-0.7,-1.4,0.1,-0.8790742279905376,-0.9429089377932462,31282.0
2021,BRef DBPM,BRef_DBPM,BRef_MP,33,-0.584848484848485,-0.5,-1.0,0.1,-0.47491172422048,-0.5178167286683737,33418.0
2022,BRef DBPM,BRef_DBPM,BRef_MP,41,-0.6756097560975609,-0.7,-1.1,0.1,-0.532174229555933,-0.5802695723265149,41210.0
2023,BRef DBPM,BRef_DBPM,BRef_MP,32,-0.684375,-0.7,-1.5,0.17500000000000002,-0.7642472696869939,-0.7089929267168805,38274.0
2024,BRef DBPM,BRef_DBPM,BRef_MP,28,-0.48214285714285715,-0.55,-1.625,0.625,-0.29508419169802014,-0.18247349565723553,32426.0
1997,BRef OBPM,BRef_OBPM,BRef_MP,18,-1.9166666666666667,-2.35,-3.575,-0.225,-0.8518579363216772,-0.7963164873313541,25566.0
1998,BRef OBPM,BRef_OBPM,BRef_MP,13,-0.7384615384615383,-0.7,-2.3,0.7,-0.14070457079152737,-0.004259994834243275,22425.0
1999,BRef OBPM,BRef_OBPM,BRef_MP,14,-0.35714285714285715,-0.5,-1.75,1.1,0.4216716220680541,0.5528639135804037,12108.0
2000,BRef OBPM,BRef_OBPM,BRef_MP,14,-1.3714285714285714,-1.45,-2.375,-0.55,-0.5301556824078878,-0.455532855656529,19270.0
2001,BRef OBPM,BRef_OBPM,BRef_MP,15,-2.513333333333333,-2.8,-3.0999999999999996,-1.55,-1.819865357643759,-3.300374034544508,17825.0
2002,BRef OBPM,BRef_OBPM,BRef_MP,21,-1.4952380952380953,-1.7,-2.5,-0.2,-0.8950459052515609,-1.166381381678518,27230.0
2003,BRef OBPM,BRef_OBPM,BRef_MP,18,-2.0611111111111113,-1.9,-3.375,-1.1,-1.6867865735810363,-1.5907942114619287,25353.0
2004,BRef OBPM,BRef_OBPM,BRef_MP,16,-1.7687499999999998,-2.5,-3.3,-1.15,-1.0821417359912102,-1.198689995707025,25484.0
