Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2006,BRef PER,BRef_PER,BRef_MP,20,12.415000000000001,12.6,11.475,14.45,13.935929367313108,13.40100951003306,25937.0
2007,BRef PER,BRef_PER,BRef_MP,20,13.045000000000002,12.600000000000001,11.325,14.9,13.135953839103445,13.005622281734155,24003.0
2008,BRef PER,BRef_PER,BRef_MP,20,12.145,11.649999999999999,10.575,14.1,12.316875738742517,12.298029587187536,26227.0
2009,BRef PER,BRef_PER,BRef_MP,20,14.895000000000001,15.05,13.825,17.05,15.165320605588331,14.994804612958017,35932.0
2010,BRef PER,BRef_PER,BRef_MP,20,14.2,14.05,12.575,16.325,14.533659024217213,14.61679332795568,31011.0
2011,BRef PER,BRef_PER,BRef_MP,20,12.425,11.35,10.2,14.9,13.880068790082765,13.763529924632184,27911.0
2012,BRef PER,BRef_PER,BRef_MP,20,13.755,13.65,11.649999999999999,14.675,13.759530837958042,13.888436965306258,25407.0
2013,BRef PER,BRef_PER,BRef_MP,20,12.8,12.75,10.35,14.4,13.460707989563499,13.436455645023438,28362.0
2014,BRef PER,BRef_PER,BRef_MP,20,9.879999999999999,9.2,7.65,12.625,10.99613481228669,10.562788704020523,23440.0
2015,BRef PER,BRef_PER,BRef_MP,20,10.809999999999999,11.0,8.85,13.825000000000001,11.350127756594206,11.256584418079628,25439.0
2016,BRef PER,BRef_PER,BRef_MP,20,13.065000000000001,12.600000000000001,9.775,15.525,13.607375896027333,13.809996313083008,29854.0
2017,BRef PER,BRef_PER,BRef_MP,20,10.985000000000001,11.65,8.575,12.475000000000001,10.44191078714528,10.737499665242764,21813.0
2018,BRef PER,BRef_PER,BRef_MP,20,12.764999999999997,12.3,10.0,15.625,13.443283370640069,12.994062823655558,35293.0
2019,BRef PER,BRef_PER,BRef_MP,20,13.35,12.4,10.05,16.549999999999997,13.690808695652173,13.11756012306304,34500.0
2020,BRef PER,BRef_PER,BRef_MP,20,11.84,10.75,8.575,12.75,11.607343380059378,11.742026802246823,26609.0
2021,BRef PER,BRef_PER,BRef_MP,19,11.84736842105263,11.8,9.600000000000001,14.2,11.856691277408821,12.626363289558167,26953.0
2022,BRef PER,BRef_PER,BRef_MP,20,12.415,12.35,10.2,14.825,12.873791513813588,12.366764426155997,30803.0
2023,BRef PER,BRef_PER,BRef_MP,20,12.529999999999998,11.8,10.100000000000001,15.0,12.949967406487664,13.106706820298363,32215.0
2024,BRef PER,BRef_PER,BRef_MP,20,12.55,11.9,8.9,14.425,13.328578800701829,13.830389070804964,29067.0
1997,BRef VORP,BRef_VORP,BRef_MP,18,0.011111111111111118,-0.15000000000000002,-0.4,0.17500000000000002,0.32012438394743015,0.31750633152037744,25566.0
1998,BRef VORP,BRef_VORP,BRef_MP,13,0.676923076923077,0.4,-0.4,0.7,1.1971014492753622,0.9210455790568413,22425.0
1999,BRef VORP,BRef_VORP,BRef_MP,14,0.45714285714285724,0.15000000000000002,-0.07500000000000001,0.575,0.775363396101751,0.7664342243526979,12108.0
2000,BRef VORP,BRef_VORP,BRef_MP,14,0.37142857142857144,-0.1,-0.2,0.875,0.8098702646600935,0.8801379824261928,19270.0
2001,BRef VORP,BRef_VORP,BRef_MP,15,-0.12000000000000001,-0.2,-0.5,0.2,0.009716690042075711,-0.18146266874870826,17825.0
2002,BRef VORP,BRef_VORP,BRef_MP,20,0.385,0.2,-0.325,0.725,0.7710925306577481,0.5694743641070784,26910.0
2003,BRef VORP,BRef_VORP,BRef_MP,18,-0.011111111111111112,-0.1,-0.4,0.30000000000000004,0.196907663787323,0.20099864614902718,25353.0
2004,BRef VORP,BRef_VORP,BRef_MP,16,0.19374999999999998,-0.2,-0.45,0.575,0.5483008946790141,0.48755378817188333,25484.0
2005,BRef VORP,BRef_VORP,BRef_MP,20,0.39999999999999997,0.5,-0.25,0.975,0.573201644563974,0.5658051782838609,32349.0
2006,BRef VORP,BRef_VORP,BRef_MP,20,0.2,-0.1,-0.4,0.125,0.6678027528241508,0.4017200002135295,25937.0
2007,BRef VORP,BRef_VORP,BRef_MP,20,0.13999999999999999,0.1,-0.2,0.375,0.14466525017706122,0.11486236463233838,24003.0
2008,BRef VORP,BRef_VORP,BRef_MP,20,-0.13499999999999998,-0.25,-0.42500000000000004,0.3,-0.10022495901170549,-0.15549137584245218,26227.0
2009,BRef VORP,BRef_VORP,BRef_MP,20,0.25999999999999995,0.3,-0.3,0.75,0.4075531559612602,0.22640536288757945,35932.0
2010,BRef VORP,BRef_VORP,BRef_MP,20,0.495,0.30000000000000004,-0.05,0.925,0.7159266066879495,0.5673321717335063,31011.0
2011,BRef VORP,BRef_VORP,BRef_MP,20,0.09499999999999999,-0.3,-0.42500000000000004,0.42500000000000004,0.4534556268138011,0.3537242579148408,27911.0
2012,BRef VORP,BRef_VORP,BRef_MP,20,0.20000000000000004,0.0,-0.2,0.3,0.2676427756130201,0.2608297340521548,25407.0
2013,BRef VORP,BRef_VORP,BRef_MP,20,0.125,0.05,-0.45,0.325,0.33056907129257457,0.36088409040377717,28362.0
2014,BRef VORP,BRef_VORP,BRef_MP,20,-0.23500000000000001,-0.2,-0.4,-0.07500000000000001,-0.14369880546075087,-0.20146445576558183,23440.0
2015,BRef VORP,BRef_VORP,BRef_MP,20,-0.15999999999999998,-0.2,-0.42500000000000004,0.225,-0.1289044380675341,-0.18534132321730223,25439.0
2016,BRef VORP,BRef_VORP,BRef_MP,20,0.18500000000000003,0.0,-0.42500000000000004,0.4,0.2966068198566356,0.3702883302401177,29854.0
2017,BRef VORP,BRef_VORP,BRef_MP,20,-0.30500000000000005,-0.1,-0.525,0.0,-0.4428597625269335,-0.37266095202357885,21813.0
2018,BRef VORP,BRef_VORP,BRef_MP,20,0.4,0.5,-0.6,0.8250000000000001,0.6262374975207549,0.4931638194804156,35293.0
2019,BRef VORP,BRef_VORP,BRef_MP,20,0.255,0.15000000000000002,-0.275,0.725,0.3363768115942029,0.2756625560784557,34500.0
2020,BRef VORP,BRef_VORP,BRef_MP,20,-0.3450000000000001,-0.4,-0.9,0.125,-0.3997106242248863,-0.4426570356929186,26609.0
2021,BRef VORP,BRef_VORP,BRef_MP,19,-0.10526315789473686,-0.2,-0.5,0.2,-0.11129002337402144,0.18313062316731418,26953.0
