Season,value,series,series_type,z_score,cohort,combined_z_score
2008,20.191124946420945,Avg MPG,context,-0.5376359865698022,Top 20 minutes,-0.15733907343488143
2009,23.663721609713214,Avg MPG,context,0.9801021246288766,Top 20 minutes,1.4582717918176182
2010,21.090718158810276,Avg MPG,context,-0.14445847838073186,Top 20 minutes,0.26119285214316207
2011,21.3096771543401,Avg MPG,context,-0.04875994367375825,Top 20 minutes,0.3630625958891506
2012,21.895113271491557,Avg MPG,context,0.20711161090826502,Top 20 minutes,0.6354342657059404
2013,21.319435968323837,Avg MPG,context,-0.04449474234479824,Top 20 minutes,0.3676028426937293
2014,17.35466994355583,Avg MPG,context,-1.777341105236564,Top 20 minutes,-1.4769877299776923
2015,21.495061218434124,Avg MPG,context,0.03226428302628252,Top 20 minutes,0.4493117452248568
2016,21.569267150446134,Avg MPG,context,0.06469683480581132,Top 20 minutes,0.48383574027792153
2017,17.608126821553633,Avg MPG,context,-1.6665648762120295,Top 20 minutes,-1.3590679927692821
2018,24.660201142837533,Avg MPG,context,1.415624908037413,Top 20 minutes,1.921879667081504
2019,24.636059938434677,Avg MPG,context,1.405073718387385,Top 20 minutes,1.9106480741511123
2020,24.21349173705316,Avg MPG,context,1.2203854502113274,Top 20 minutes,1.7140500111860544
2021,24.134127448012947,Avg MPG,context,1.1856983794617053,Top 20 minutes,1.6771261124097288
2022,24.376345996720243,Avg MPG,context,1.291562768061262,Top 20 minutes,1.7898172645938668
2023,23.366720982330754,Avg MPG,context,0.8502946016322624,Top 20 minutes,1.3200935099405082
2024,22.90788600658039,Avg MPG,context,0.649755524690623,Top 20 minutes,1.1066224840605978
1997,20.882969568958774,Avg Rookie Age,context,0.11709806062625287,Top 20 minutes,0.08677340722048722
1998,21.59665551839465,Avg Rookie Age,context,2.339755736090436,Top 20 minutes,2.3981390911248477
1999,21.285926660059467,Avg Rookie Age,context,1.3720417401615164,Top 20 minutes,1.3918028717801638
2000,21.03030617540218,Avg Rookie Age,context,0.5759537231864253,Top 20 minutes,0.5639423586134577
2001,21.04173913043478,Avg Rookie Age,context,0.6115597839145804,Top 20 minutes,0.6009694851091674
2002,20.73080639167596,Avg Rookie Age,context,-0.3567891641089405,Top 20 minutes,-0.40602702776545807
2003,21.12440342365795,Avg Rookie Age,context,0.8690041485745922,Top 20 minutes,0.868688655973138
2004,20.893070161670067,Avg Rookie Age,context,0.14855469772866234,Top 20 minutes,0.11948550334404232
2005,20.781167887724504,Avg Rookie Age,context,-0.19994655591602778,Top 20 minutes,-0.2429247082526496
2006,21.1152407757258,Avg Rookie Age,context,0.8404685864410404,Top 20 minutes,0.8390142172080061
2007,21.21522309711286,Avg Rookie Age,context,1.1518471055464536,Top 20 minutes,1.162820096858324
2008,20.971098486292753,Avg Rookie Age,context,0.39156109958274093,Top 20 minutes,0.37219048099980695
2009,20.68109206278526,Avg Rookie Age,context,-0.511616276477906,Top 20 minutes,-0.5670334114376061
2010,21.112798684337815,Avg Rookie Age,context,0.832863093896347,Top 20 minutes,0.8311051834998245
2011,21.050302748020492,Avg Rookie Age,context,0.6382297644174418,Top 20 minutes,0.6287038854197498
2012,21.08844019364742,Avg Rookie Age,context,0.757002575220693,Top 20 minutes,0.7522170121157746
2013,20.856110288414076,Avg Rookie Age,context,0.033449242673050175,Top 20 minutes,-0.00021390056446785394
2014,21.136220136518773,Avg Rookie Age,context,0.905805360031295,Top 20 minutes,0.9069586325989206
2015,20.692873147529383,Avg Rookie Age,context,-0.4749260229391966,Top 20 minutes,-0.5288788211472176
2016,20.32066054800027,Avg Rookie Age,context,-1.6341210328757,Top 20 minutes,-1.7343382117215462
2017,20.65497639022601,Avg Rookie Age,context,-0.5929492494888057,Top 20 minutes,-0.6516124470950215
2018,20.64593545462273,Avg Rookie Age,context,-0.6211057585638313,Top 20 minutes,-0.6808927044972166
2019,20.593159420289854,Avg Rookie Age,context,-0.7854680496853655,Top 20 minutes,-0.851814823373158
2020,20.542034649930475,Avg Rookie Age,context,-0.9446877503610461,Top 20 minutes,-1.0173891069912753
2021,20.175601973806256,Avg Rookie Age,context,-2.0858821381336443,Top 20 minutes,-2.2041294564744516
2022,20.327078531311884,Avg Rookie Age,context,-1.614133277925731,Top 20 minutes,-1.7135527298186706
2023,20.70240571162502,Avg Rookie Age,context,-0.4452384176686047,Top 20 minutes,-0.4980063603012559
2024,20.422059380052982,Avg Rookie Age,context,-1.3183310239464074,Top 20 minutes,-1.4059447762337427
1997,1.73834748005155,Age-Adjusted RAPM,impact,-0.7867189868059994,Top 20 minutes,-0.7011472604352652
1998,1.763522789309703,Age-Adjusted RAPM,impact,-0.7540031058586362,Top 20 minutes,-0.6679962567211513
1999,3.621047876966958,Age-Adjusted RAPM,impact,1.6598925488632434,Top 20 minutes,1.7780043245842414
2000,3.44672505792318,Age-Adjusted RAPM,impact,1.4333561224081037,Top 20 minutes,1.5484549529234517
2001,1.0282587697946803,Age-Adjusted RAPM,impact,-1.7094952462200514,Top 20 minutes,-1.6361964878227033
2002,2.6620479126280094,Age-Adjusted RAPM,impact,0.41365051306072687,Top 20 minutes,0.5151872106558489
2003,1.755125929944271,Age-Adjusted RAPM,impact,-0.7649150135740205,Top 20 minutes,-0.6790532933261805
2004,3.179491200008788,Age-Adjusted RAPM,impact,1.086079709992218,Top 20 minutes,1.1965597477677108
2005,4.122987435139149,Age-Adjusted RAPM,impact,2.3121743007791764,Top 20 minutes,2.438961454707208
2006,2.7731541591409052,Age-Adjusted RAPM,impact,0.5580355808329175,Top 20 minutes,0.6614926066706934
2007,3.4552771911119855,Age-Adjusted RAPM,impact,1.444469811951375,Top 20 minutes,1.55971645506424
2008,1.4899208321668136,Age-Adjusted RAPM,impact,-1.1095550065350301,Top 20 minutes,-1.0282770145233764
2009,2.5881012331363493,Age-Adjusted RAPM,impact,0.31755513890286996,Top 20 minutes,0.41781376346848126
2010,2.266578048349606,Age-Adjusted RAPM,impact,-0.10027147555643763,Top 20 minutes,-0.005569964760683743
2011,1.7363771194175766,Age-Adjusted RAPM,impact,-0.7892795147925054,Top 20 minutes,-0.7037418435653152
2012,2.5686275257018485,Age-Adjusted RAPM,impact,0.2922486178389992,Top 20 minutes,0.3921706644753821
2013,2.128037268711082,Age-Adjusted RAPM,impact,-0.2803083365352552,Top 20 minutes,-0.18800132452106408
2014,1.2204224278611417,Age-Adjusted RAPM,impact,-1.459774247949646,Top 20 minutes,-1.3831541884429686
2015,2.3256137025126447,Age-Adjusted RAPM,impact,-0.023553314383414906,Top 20 minutes,0.07216855159101625
2016,2.21473452723454,Age-Adjusted RAPM,impact,-0.16764329797579186,Top 20 minutes,-0.07383783561044127
