cohort,Rookie_Age_Bin,Season,series,value,n_players,weight_sum
All qualifying,22,2005,Avg MPG,19.567571177136248,12,15443.0
All qualifying,22,2006,Avg MPG,17.728786360863403,9,10637.0
All qualifying,22,2007,Avg MPG,17.726327530774583,9,10298.0
All qualifying,22,2008,Avg MPG,16.91563492857664,11,11531.0
All qualifying,22,2009,Avg MPG,18.742237427723165,5,6727.0
All qualifying,22,2010,Avg MPG,16.776525219553527,14,16126.0
All qualifying,22,2011,Avg MPG,18.348221646004557,12,12216.0
All qualifying,22,2012,Avg MPG,19.488005160148226,10,11517.0
All qualifying,22,2013,Avg MPG,16.373915787562346,10,10860.0
All qualifying,22,2014,Avg MPG,18.51608068233939,8,9891.0
All qualifying,22,2015,Avg MPG,18.03873352911118,7,5519.0
All qualifying,22,2016,Avg MPG,13.590890618096502,8,5253.0
All qualifying,22,2017,Avg MPG,17.038080792984047,8,7094.0
All qualifying,22,2018,Avg MPG,19.164050015763358,7,8462.0
All qualifying,22,2019,Avg MPG,16.574881338604055,10,9790.0
All qualifying,22,2020,Avg MPG,17.961582092745687,7,5628.0
All qualifying,22,2021,Avg MPG,16.179041222344793,7,5879.0
All qualifying,22,2022,Avg MPG,18.700383512291822,8,7169.0
All qualifying,22,2023,Avg MPG,20.149415683999926,8,10310.0
All qualifying,22,2024,Avg MPG,15.1645502629663,6,5793.0
All qualifying,18,1997,BRef BPM,-1.097565663036515,2,1561.0
All qualifying,18,2006,BRef BPM,-6.900000000000001,1,338.0
All qualifying,19,1998,BRef BPM,0.6,1,1179.0
All qualifying,19,1999,BRef BPM,-2.1,1,557.0
All qualifying,19,2001,BRef BPM,-0.5,1,2133.0
All qualifying,19,2002,BRef BPM,-3.6892893230043784,3,2969.0
All qualifying,19,2004,BRef BPM,1.7,1,3122.0
All qualifying,19,2005,BRef BPM,-1.1706184904204706,5,7777.0
All qualifying,19,2006,BRef BPM,-2.5,1,1070.0
All qualifying,19,2008,BRef BPM,-0.1,1,2768.0
All qualifying,19,2009,BRef BPM,-2.3,1,1129.0
All qualifying,19,2011,BRef BPM,-3.2,1,1535.0
All qualifying,19,2012,BRef BPM,-3.9312823164426054,2,1934.0
All qualifying,19,2013,BRef BPM,-0.6601897184822522,2,3268.0
All qualifying,19,2014,BRef BPM,-2.6535390946502058,2,2430.0
All qualifying,19,2015,BRef BPM,-3.7657162253903596,3,2946.0
All qualifying,19,2016,BRef BPM,-3.733708587970408,2,3109.0
All qualifying,19,2017,BRef BPM,-3.663623510401939,4,4951.0
All qualifying,19,2018,BRef BPM,-5.0,1,1706.0
All qualifying,19,2019,BRef BPM,-1.080400890868597,2,2245.0
All qualifying,19,2020,BRef BPM,-2.5661040787623066,2,1422.0
All qualifying,19,2021,BRef BPM,-2.4511559925591286,5,7526.0
All qualifying,19,2022,BRef BPM,-1.858150330298161,5,5601.0
All qualifying,19,2023,BRef BPM,-0.8,2,3071.0
All qualifying,19,2024,BRef BPM,-2.343973320628871,4,4198.0
All qualifying,20,1997,BRef BPM,-1.393354743083004,3,8096.0
All qualifying,20,1999,BRef BPM,1.5,1,988.0
All qualifying,20,2000,BRef BPM,-0.7671089080040823,4,6859.0
All qualifying,20,2001,BRef BPM,-7.699999999999999,1,293.0
All qualifying,20,2002,BRef BPM,-1.259524883476169,5,6651.0
All qualifying,20,2003,BRef BPM,-2.1335371942086874,5,8012.0
All qualifying,20,2004,BRef BPM,-1.3859838643511555,4,7313.0
All qualifying,20,2005,BRef BPM,-2.0818701381171616,5,6299.0
All qualifying,20,2006,BRef BPM,-3.487449933244326,4,4494.0
All qualifying,20,2007,BRef BPM,-2.00064302416212,4,5132.0
