draw,challenger_minus_control_rmse
892,7.85365615843192e-05
893,0.0002542451156262615
894,8.06436481649575e-05
895,-0.0004418769580430748
896,-0.0007924793877503334
897,-0.0005356367406925244
898,0.00026349964002194695
899,0.0002714612777631853
900,-7.666864033457621e-05
901,-0.0004399543777753756
902,0.0011558232155639558
903,-0.0006200022048866271
904,-0.00022200329730894807
905,-4.6605003733568574e-05
906,-0.0002643938814629987
907,0.0005467479413352905
908,0.0004676546975277196
909,-0.0003103187852979028
910,-0.00034594098493134773
911,-8.347111977773381e-05
912,0.000165474190340964
913,-0.00022436327845705152
914,-6.913960746590675e-06
915,-0.0007348189999299537
916,-0.000494239792532225
917,-0.0011514604060614219
918,-0.0001282534483685094
919,-0.0003208362340130888
920,-0.0006655344241721428
921,0.0002381313030360266
922,-0.00016101351937372054
923,8.250156583011758e-05
924,-0.0005705517447030184
925,-0.0005020822666637725
926,0.0003538637414117529
927,0.00028667227047678433
928,-0.0006995010767529397
929,-0.0006751715542168135
930,0.0004844938619987582
931,0.00019792079097651348
932,-0.00014324402634964263
933,0.0006306398527893498
934,0.00045649436610191164
935,0.0004955116849492347
936,0.0003723029618999174
937,-0.0002729472166013602
938,-0.0009446858200637287
939,-0.0006049054211054283
940,0.0005154876430211841
941,-0.0007539394491184348
942,0.0008983480235497998
943,-0.0001069733612824697
944,-0.00042165092997294986
945,0.0021130900351888247
946,-0.0003849799142015442
947,-0.0007284985404964362
948,0.00015435425506453714
949,-0.00019542604658147057
950,0.0006451844025775922
951,-0.001042197238587339
952,5.7070187201402336e-05
953,0.0015528632005594955
954,0.001217044943889123
955,0.0011026565131263988
956,1.589499967515895e-05
957,0.00042019528540020444
958,0.001080632348336641
959,0.0009052752646687923
960,-0.0005195252213761492
961,0.0006483528992260457
962,0.000626992789476355
963,-0.000178418392829216
964,0.0008800071352553562
965,-0.0004069625593144721
966,-0.00045652269768414744
967,0.0003838060365283447
968,0.0009829526768463603
969,8.296260964939517e-05
970,0.0003906226440751448
971,0.00019525318827853244
972,-0.0004176352705523412
973,-0.0003503432086545688
974,-0.0005699389209578686
975,-0.00026985825791343566
976,0.0004302812803146372
977,-4.2251981579477516e-05
978,-0.0001378799270875586
979,0.0010328786845885008
980,0.0006560964844752659
981,0.0006977433793928567
982,0.0019732721254266837
983,-0.0007990380976354849
984,0.0005284599341020213
985,-0.0010007612247741938
986,-0.00019284642054617773
987,-0.0008623018517383008
988,4.051910869040665e-05
989,-0.0009936605667724586
990,-0.00016030671211795245
991,0.001450606560618839
992,0.0016924707445005183
993,0.001453547721099735
994,-0.0002800621832221184
995,-0.0010044991771797074
996,-0.00037309489822057174
997,0.0007808188410650896
998,-0.00018273139979141373
999,-0.00042652753308198844
1000,0.00022088242623690134
1001,0.0001807928713896123
1002,-0.0006309616472826018
1003,-0.00032863828176306066
1004,0.001010338825058499
1005,0.00044721894160253405
1006,-0.0006804112717502031
1007,-0.0002596810160321317
1008,0.00029680873798336725
1009,-3.8556938609657365e-06
1010,0.0008193412543515243
1011,5.358317375505628e-05
1012,0.0011598225336340473
1013,0.00021172730687790686
1014,0.0005246229461255414
1015,0.0008600334983907443
1016,0.00017840358899976483
1017,-0.000974030403651982
1018,-0.00019030311417247425
1019,-0.00010928313860369965
1020,0.001379391738182023
1021,0.00023679561611871235
1022,0.0010947532155150875
1023,-0.00019152469356891187
1024,-0.00017943405342590868
1025,-0.0003636509841376423
1026,-0.0006590745919315743
1027,-0.0005279599518567268
1028,-0.0003639851966152907
1029,-0.00015586433901215724
1030,-0.0006438091811850954
1031,-0.00026180321541895423
1032,3.423420058279447e-06
1033,-0.0003132548386020506
1034,-0.0011557937248245277
1035,0.0006125100034597875
1036,0.001083716272461266
1037,-0.0003883963325360451
1038,0.00016435470456022117
1039,-0.00035587354858299667
1040,-0.0008696220175453906
1041,-3.470915069543334e-05
1042,8.411966534667137e-05
1043,-0.000446321652340842
1044,-0.0005227789943308636
1045,-0.000593366979914145
1046,-4.639214850448159e-05
1047,-0.000542094575191654
1048,0.0003036436942672749
1049,-0.0005483473506098458
1050,7.902759407762972e-07
1051,-0.00024030139575696995
1052,-0.00020699317096335436
1053,-0.0003853641282467013
1054,0.0004960409578607106
1055,0.0014897810827118052
1056,-0.0007326907990195863
1057,2.981857123924847e-05
1058,0.0006428894096359051
1059,-0.0009205799455193509
1060,-0.0009079916970167856
1061,-9.956751253412666e-05
1062,0.0001752264549107041
1063,-0.00030689307312812273
1064,-0.0004997274680223595
1065,0.00015617963497396303
1066,0.0007057479504491093
1067,-0.00022274862308462317
1068,-0.0001285579690723404
1069,-0.00018348059258974648
1070,-0.000430875022633348
1071,-8.313679052642797e-05
1072,-0.00030330133109162104
1073,-0.0008102503952603701
1074,5.236497372385074e-06
1075,0.00046295071440740634
1076,-0.00022993369775672345
1077,0.0002578705729109787
1078,-0.00014502470410504564
1079,-0.0009730463214311369
1080,0.0008543639925208346
1081,0.00033330165544005476
1082,-0.0008158993688154759
1083,-0.0005183765011520958
1084,-0.0012238039008659607
1085,0.00022855995441999343
1086,-0.0008171380476411638
1087,0.0006481948148589822
1088,0.0011350881102511145
