Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Kentavious Caldwell-Pope,2024,0.53,-0.71,2.69,-1.21,2.59,-1.73,4.33
Al Horford,2018,1.26,-1.02,1.17,-1.15,2.05,-2.26,4.3
Pascal Siakam,2019,1.31,-0.67,1.51,-1.82,2.37,-1.93,4.3
Thaddeus Young,2021,1.01,-0.54,2.98,0.24,3.89,-0.41,4.3
Kevin Love,2024,1.47,-1.13,1.02,-1.07,2.34,-1.95,4.29
Blake Griffin,2018,2.64,-0.83,0.91,-0.74,3.07,-1.21,4.28
John Wall,2017,2.51,-0.11,2.04,0.51,4.22,-0.07,4.28
Jusuf Nurkic,2024,0.34,-1.2,2.21,-1.32,2.02,-2.26,4.28
Fred VanVleet,2023,1.95,-1.39,1.6,-0.32,3.02,-1.25,4.27
Cameron Payne,2020,1.69,-0.92,1.01,-0.91,2.62,-1.65,4.27
Dillon Brooks,2022,1.31,-1.12,1.34,-1.09,2.48,-1.79,4.27
Christian Wood,2020,0.83,-0.77,1.94,-0.69,2.74,-1.51,4.25
Patrick Beverley,2019,0.99,-1.14,1.5,-0.77,2.35,-1.9,4.25
Jalen Brunson,2023,3.68,-0.89,2.7,1.66,5.08,0.85,4.24
Damian Lillard,2023,4.28,2.08,3.02,0.91,6.36,2.13,4.23
Jamal Murray,2020,2.1,0.33,2.01,-0.66,3.7,-0.53,4.23
Keon Ellis,2024,1.6,-1.43,0.61,-1.27,2.02,-2.21,4.23
Khris Middleton,2017,1.71,-1.9,0.71,-0.56,2.14,-2.09,4.22
Eric Gordon,2018,0.71,1.18,3.06,-1.17,3.69,-0.52,4.22
Jimmy Butler,2022,2.79,-0.46,1.46,-0.4,3.53,-0.68,4.21
Damian Lillard,2024,2.7,1.42,1.94,-1.38,3.9,-0.31,4.21
Damian Lillard,2017,3.81,-0.01,1.92,0.65,4.9,0.71,4.19
Immanuel Quickley,2023,2.24,-0.93,-0.76,-3.21,0.68,-3.51,4.19
Jaylen Brown,2022,2.21,-0.16,0.86,-2.12,2.38,-1.8,4.18
Clint Capela,2022,1.8,-1.57,1.81,0.35,2.88,-1.28,4.17
Jrue Holiday,2020,2.36,-0.94,0.63,-1.23,2.28,-1.88,4.16
Alex Caruso,2019,1.44,-1.14,0.13,-1.56,1.52,-2.63,4.15
Jae Crowder,2017,0.95,0.1,2.32,-1.29,2.71,-1.44,4.15
Kevin Durant,2024,3.64,-0.46,1.17,-0.21,3.75,-0.4,4.14
Jakob Poeltl,2021,1.93,-0.52,0.85,-1.1,2.42,-1.71,4.14
Isaiah Thomas,2017,4.45,1.32,4.26,2.64,7.41,3.27,4.14
Herbert Jones,2023,0.7,-0.9,1.09,-1.29,1.63,-2.5,4.13
Chris Paul,2022,1.31,-0.59,1.05,-1.54,2.22,-1.9,4.13
Robert Covington,2021,0.49,-1.61,2.59,0.33,2.72,-1.4,4.12
Franz Wagner,2023,1.64,0.86,0.61,-2.22,2.13,-1.98,4.11
Donte DiVincenzo,2021,1.61,-1.46,2.16,-0.34,3.2,-0.89,4.09
Dejounte Murray,2022,2.58,-0.9,1.04,-0.24,3.01,-1.07,4.09
Draymond Green,2021,0.21,-2.74,1.55,-0.29,1.66,-2.41,4.07
Draymond Green,2019,0.35,-2.59,1.09,-1.45,0.97,-3.09,4.06
Luka Doncic,2023,4.29,1.27,2.1,0.65,5.27,1.21,4.06
Damian Lillard,2020,4.37,0.86,2.53,1.16,5.85,1.8,4.05
Jaren Jackson Jr.,2023,0.44,-0.72,1.79,-1.82,2.05,-1.99,4.04
Jrue Holiday,2018,1.65,-0.28,1.1,-1.86,2.15,-1.88,4.04
Tyrese Haliburton,2023,3.04,0.14,2.15,0.52,4.55,0.52,4.03
Robert Williams III,2022,1.21,-1.84,0.48,-2.01,1.05,-2.98,4.03
Bradley Beal,2017,1.85,0.88,2.49,-0.3,4.03,0.0,4.02
DeMar DeRozan,2018,2.36,-0.08,2.51,0.21,4.34,0.32,4.01
Otto Porter Jr.,2019,1.85,-0.84,1.83,0.03,3.25,-0.76,4.01
Fred VanVleet,2022,2.28,-0.7,0.79,-0.98,2.55,-1.46,4.01
DeMar DeRozan,2023,2.43,0.04,0.75,-1.35,2.81,-1.19,4.0
Rudy Gay,2019,1.26,-1.5,0.37,-1.63,1.3,-2.7,4.0
Brook Lopez,2019,0.92,-1.63,1.5,-1.31,1.71,-2.27,3.98
Jalen Brunson,2020,1.94,0.01,0.89,-1.48,2.67,-1.32,3.98
Gary Payton II,2022,0.49,-1.62,0.83,-1.7,1.37,-2.6,3.97
Jamal Murray,2021,2.8,0.68,2.28,-0.34,4.04,0.08,3.96
Zion Williamson,2021,3.11,-0.44,2.42,1.32,4.76,0.8,3.96
Amir Johnson,2017,0.09,-1.32,1.45,-1.41,1.32,-2.64,3.96
Alex Caruso,2020,0.13,-1.48,0.51,-2.33,0.78,-3.17,3.96
Donovan Mitchell,2018,2.24,0.22,0.64,-1.75,2.52,-1.44,3.95
Kyrie Irving,2017,3.92,1.17,3.19,1.2,5.71,1.76,3.95
Immanuel Quickley,2022,0.0,0.0,1.57,-2.1,2.02,-1.92,3.95
Shaquille Harrison,2020,1.11,-1.78,0.1,-1.3,1.2,-2.75,3.95
Cameron Payne,2021,1.59,-1.3,1.05,-0.17,2.6,-1.34,3.94
George Hill,2020,1.89,-1.34,1.24,-0.84,2.7,-1.24,3.94
Ricky Rubio,2022,1.12,-0.46,-0.2,-2.81,0.9,-3.03,3.94
Kenrich Williams,2022,1.43,-1.04,-0.91,-3.02,0.3,-3.64,3.94
Andre Roberson,2018,0.05,-1.55,-0.48,-3.05,-0.41,-4.34,3.93
Kevin Love,2017,1.73,0.13,1.76,-1.16,2.62,-1.31,3.93
Jock Landale,2024,0.63,-1.05,1.16,-1.29,2.01,-1.91,3.93
Patrick Beverley,2020,1.33,-1.0,0.8,-1.88,1.61,-2.31,3.93
Brook Lopez,2023,0.61,-0.71,0.5,-2.45,0.98,-2.94,3.92
Victor Oladipo,2019,2.17,-1.96,0.02,-0.87,1.8,-2.12,3.92
Christian Koloko,2023,0.55,-1.5,0.04,-2.27,0.63,-3.28,3.91
Dāvis Bertāns,2019,0.96,-0.04,2.91,-0.1,3.66,-0.25,3.91
Fred VanVleet,2020,2.5,-1.7,0.04,-1.04,1.96,-1.94,3.9
Nikola Mirotic,2017,0.84,-1.72,1.23,-0.8,1.94,-1.95,3.88
Kyle Lowry,2020,1.28,-1.69,0.48,-1.38,1.59,-2.29,3.88
Boban Marjanovic,2017,1.62,-1.95,0.08,-0.39,1.71,-2.17,3.88
Joe Ingles,2020,0.96,-0.07,0.8,-1.91,1.7,-2.16,3.87
Alex Caruso,2022,0.47,-1.73,-0.11,-2.2,0.37,-3.49,3.86
Nicolas Batum,2023,0.86,-1.66,1.14,-0.93,1.87,-1.98,3.85
Delon Wright,2023,0.89,-1.31,0.99,-0.99,2.03,-1.81,3.84
Paul George,2017,1.91,-0.45,1.79,-0.26,3.39,-0.45,3.84
Pascal Siakam,2021,1.83,-0.02,1.74,-0.57,3.25,-0.59,3.84
Nikola Mirotic,2018,1.81,-0.07,1.71,-0.49,3.13,-0.71,3.84
Miles Bridges,2022,1.73,-0.4,2.47,-0.04,3.45,-0.38,3.83
Devin Booker,2021,3.7,1.85,2.4,0.09,5.22,1.39,3.83
Justise Winslow,2019,1.08,-0.84,0.48,-1.91,1.59,-2.23,3.82
Marcus Smart,2020,1.65,-1.75,0.37,-1.35,1.51,-2.29,3.8
Steven Adams,2018,1.72,-0.08,1.78,-0.71,2.89,-0.91,3.8
Zach LaVine,2021,3.24,0.36,1.87,1.09,4.79,1.02,3.77
Donte DiVincenzo,2020,1.32,-1.27,0.74,-1.68,1.78,-1.98,3.76
Alec Burks,2023,1.66,-0.78,1.35,0.09,2.99,-0.76,3.75
Hassan Whiteside,2020,0.77,-2.08,1.71,-0.09,2.05,-1.7,3.75
De'Aaron Fox,2019,1.84,-0.59,0.66,-0.61,2.26,-1.49,3.75
De'Anthony Melton,2022,2.5,-1.35,0.43,-0.97,2.15,-1.61,3.75
Donovan Mitchell,2022,4.5,1.01,2.58,1.13,5.86,2.13,3.73
Jimmy Butler,2023,3.1,-0.76,1.32,0.61,3.63,-0.11,3.73
Dennis Schroder,2020,1.23,0.09,-0.36,-2.81,0.99,-2.73,3.73
Steven Adams,2022,1.48,-1.11,2.8,0.42,3.48,-0.24,3.73
Derrick White,2021,1.58,-1.53,1.35,0.4,2.73,-1.0,3.72
John Wall,2018,1.9,-0.63,1.01,-0.27,2.72,-1.0,3.72
Nicolas Batum,2020,1.55,-1.95,0.65,0.11,2.06,-1.65,3.71
Tari Eason,2024,0.83,-1.25,0.46,-1.5,1.32,-2.39,3.71
Andre Drummond,2022,1.86,-0.93,1.03,-0.33,2.52,-1.18,3.71
Bradley Beal,2018,2.47,0.24,0.66,-0.85,2.9,-0.81,3.71
Myles Turner,2024,1.0,-0.53,1.7,-0.3,2.51,-1.18,3.69
Kenrich Williams,2023,1.4,-1.97,0.56,-0.72,1.72,-1.96,3.68
Kyrie Irving,2018,4.14,0.98,1.46,0.55,4.69,1.02,3.67
Jimmy Butler,2024,2.2,1.47,1.99,-0.92,3.78,0.11,3.67
John Collins,2019,0.85,-0.26,2.4,0.4,3.35,-0.31,3.67
Franz Wagner,2024,2.1,-0.5,0.06,-2.08,1.56,-2.11,3.67
Jakob Poeltl,2019,2.08,-1.06,0.35,-0.81,1.97,-1.69,3.66
Robert Covington,2019,1.08,-1.93,-0.65,-1.94,0.31,-3.34,3.65
Alex Caruso,2024,1.38,-2.59,-1.09,-1.99,-0.02,-3.67,3.65
James Harden,2023,2.91,0.64,2.42,0.41,4.48,0.83,3.65
Desmond Bane,2022,2.07,-0.72,1.52,-0.56,2.88,-0.75,3.63
Draymond Green,2024,0.44,-0.97,0.17,-2.22,0.46,-3.17,3.63
Kevon Looney,2019,1.92,-0.92,1.61,-0.1,2.7,-0.93,3.63
Rudy Gobert,2024,-0.36,-1.63,1.12,-1.67,1.07,-2.55,3.62
Rudy Gay,2021,1.16,-1.48,-0.44,-1.81,0.68,-2.93,3.61
Derrick Rose,2022,2.34,-0.71,-0.1,-1.11,2.05,-1.56,3.61
Derrick Favors,2020,0.7,-1.4,1.33,-1.0,1.59,-2.02,3.61
Chet Holmgren,2024,1.73,-1.27,1.32,-0.61,2.49,-1.12,3.61
Bradley Beal,2019,2.86,-0.81,1.91,1.07,3.96,0.35,3.61
Devonte' Graham,2021,1.87,0.4,0.27,-1.94,1.9,-1.7,3.6
DeAndre Jordan,2017,-0.06,-1.22,1.95,-0.94,1.49,-2.11,3.6
Luke Kornet,2019,1.55,-1.5,-0.59,-1.58,0.84,-2.75,3.58
